IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2024,"United Nations Population Division",392,"Japan","JP","JPN",75,"2024",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",84.852
61,"Life expectancy at birth","Life expectancy by sex (at birth)","World Population Prospects",2024,"United Nations Population Division",392,"Japan","JP","JPN",76,"2025",4,"Median",3,"Both sexes",188,0,-1,"Total",0,"Not applicable",1,"Model-based Estimates",3,"Projection",85.0012
